kepid,plnt num,kname,dispos,GB_vif,DT
9288786,2,-,-,1.0,0.896
3734868,2,-,-,1.0,0.643
5370302,2,-,-,1.0,0.908
10418797,2,-,-,1.0,0.713
5534941,1,K02332.01,CAND,1.0,0.969
6603756,2,-,-,1.0,-
10616571,3,-,-,1.0,0.724
10794087,1,K01316.01,CAND,1.0,0.899
9071386,2,-,-,1.0,0.942
12115188,2,-,-,1.0,0.792
10464078,2,-,-,1.0,0.551
9934208,2,-,-,1.0,0.876
6666233,2,-,-,1.0,0.837
4840513,2,-,-,1.0,0.946
12504988,2,-,-,1.0,0.921
9838975,2,-,-,1.0,0.879
4814502,1,K04004.01,CAND,1.0,0.869
8176650,2,-,-,1.0,0.874
7584650,1,K02631.01,CAND,1.0,0.885
11709124,2,-,-,1.0,0.938
8552719,2,K01792.02,FP,1.0,0.888
4862625,2,-,-,1.0,-
9632895,2,-,-,1.0,0.742
2581316,2,K03681.02,CAND,1.0,0.932
9995771,1,K03470.01,CAND,1.0,0.821
11126381,1,K01863.01,CAND,0.999,0.889
1571511,2,-,-,0.999,0.666
6762829,2,-,-,0.999,0.839
3323887,3,-,-,0.999,0.42
10091110,3,-,-,0.999,0.742
8074805,2,-,-,0.999,0.633
11030475,2,-,-,0.999,0.736
4851464,2,-,-,0.999,0.923
6428794,1,K04054.01,CAND,0.999,0.847
7037540,2,-,-,0.999,0.889
5376836,2,-,-,0.999,0.869
5270698,2,-,-,0.999,0.578
5786676,1,K00650.01,CAND,0.999,0.811
12009347,2,-,-,0.999,0.738
3970233,2,-,-,0.999,0.972
9446824,2,-,-,0.999,0.913
8180020,2,-,-,0.999,0.925
7972785,2,-,-,0.999,-
11601584,4,K01831.04,CAND,0.999,-
6432345,1,K02757.01,CAND,0.999,0.705
3102000,2,-,-,0.999,0.913
7975727,2,-,-,0.999,0.852
8953059,2,-,-,0.999,0.922
8892910,2,-,-,0.998,0.591
3342592,2,-,-,0.998,0.935
2718778,1,K02489.01,CAND,0.998,-
9474222,2,-,-,0.998,0.524
7605600,2,-,-,0.997,0.629
11968463,3,K02433.03,CAND,0.997,-
6698670,2,-,-,0.997,0.84
6756669,2,-,-,0.996,-
7023960,2,-,-,0.996,0.859
5095635,1,K02607.01,CAND,0.995,0.529
9528420,2,-,-,0.995,0.721
8416523,2,-,-,0.995,-
9346253,2,-,-,0.995,0.828
10287248,2,-,-,0.995,0.892
5774557,2,-,-,0.995,-
10904857,2,-,-,0.994,0.879
11408935,2,-,-,0.994,0.898
7375348,2,K00266.02,CAND,0.993,0.645
8953257,2,-,-,0.993,-
10005758,2,K01783.02,CAND,0.993,0.548
8460600,2,-,-,0.992,0.817
5978559,1,K02321.01,CAND,0.992,0.698
8263545,1,K02822.01,CAND,0.991,0.888
5872150,3,-,-,0.99,0.777
8561063,4,-,-,0.99,-
9886224,2,-,-,0.988,0.641
9649222,2,-,-,0.988,0.862
6707942,2,-,-,0.987,0.682
3097926,1,K02186.01,CAND,0.985,0.804
9705459,2,-,-,0.985,-
8651389,1,K01754.01,CAND,0.984,0.679
2449431,1,K02009.01,CAND,0.984,0.863
10923260,2,-,-,0.979,0.656
8458207,2,-,-,0.979,0.758
8236479,1,-,-,0.978,-
3112129,2,-,-,0.977,-
5372966,2,-,-,0.977,0.812
9836959,1,K01715.01,CAND,0.977,0.55
3558981,2,-,-,0.976,-
4049124,2,-,-,0.976,-
9411166,2,-,-,0.974,0.684
5775129,1,K02802.01,CAND,0.972,0.719
9714123,2,-,-,0.966,0.755
11404644,2,-,-,0.962,0.956
10843431,1,K07378.01,CAND,0.961,0.741
9098590,2,-,-,0.959,-
11189127,2,-,-,0.948,0.768
5608566,2,-,-,0.947,-
6500206,2,-,-,0.939,-
8686150,2,-,-,0.935,0.89
3757778,2,-,-,0.933,0.805
2444412,1,K00103.01,CAND,0.924,0.459
10332789,2,-,-,0.923,0.726
7449554,1,K02357.01,CAND,0.92,0.79
5042210,1,K02462.01,CAND,0.92,0.967
6041734,2,-,-,0.919,0.534
5780885,2,-,-,0.912,0.607
12644769,3,-,-,0.911,-
4242147,1,K01934.01,CAND,0.909,0.803
6451605,1,-,-,0.906,-
8605074,2,-,-,0.902,0.683
3231341,5,-,-,0.894,0.555
6762829,5,-,-,0.893,0.409
7362696,2,-,-,0.888,0.766
7450747,1,K04267.01,CAND,0.883,0.494
11246161,2,-,-,0.878,0.51
8415004,4,-,-,0.876,-
6805146,2,-,-,0.869,0.736
5980783,1,K02967.01,CAND,0.854,0.662
8580438,2,-,-,0.846,0.705
10186945,2,-,-,0.837,0.657
8823868,2,-,-,0.835,0.705
11465950,1,K02620.01,CAND,0.834,0.509
5551672,1,K03119.01,CAND,0.829,0.452
6677841,3,-,-,0.829,0.531
6504534,3,-,-,0.824,-
5446285,2,-,-,0.823,-
3323887,4,-,-,0.817,-
3323887,2,-,-,0.805,0.714
6750902,2,-,-,0.798,-
1026957,1,K00958.01,CAND,0.788,0.808
12170648,2,-,-,0.783,-
6185476,3,-,-,0.781,-
6614926,2,-,-,0.778,0.718
7270230,2,-,-,0.773,-
5356593,2,-,-,0.77,0.839
2574338,1,K01030.01,CAND,0.765,0.525
7269881,2,-,-,0.757,-
6185476,2,-,-,0.757,-
5035972,2,-,-,0.75,0.561
12010534,2,-,-,0.749,-
5213230,1,K03474.01,CAND,0.748,0.72
4650733,1,K01659.01,CAND,0.747,0.585
8655354,2,-,-,0.736,0.726
7119481,3,K00566.03,CAND,0.736,-
10073672,1,K02764.01,CAND,0.732,-
5728283,2,-,-,0.726,-
5124667,1,K01822.01,CAND,0.722,0.736
10016874,1,K00426.01,CAND,0.717,0.809
10710755,2,-,-,0.716,0.903
9719636,2,-,-,0.715,-
5114623,8,-,-,0.708,-
5446285,3,-,-,0.7,0.418
4069213,2,-,-,0.687,0.664
6060277,2,-,-,0.683,-
4665571,2,K02393.02,CAND,0.681,0.699
9697131,1,K02706.01,CAND,0.679,0.682
10419211,2,-,-,0.678,-
4912650,1,K05098.01,CAND,0.66,0.516
5773121,1,K04002.01,CAND,0.658,0.652
4932348,2,-,-,0.655,-
9413313,1,-,-,0.637,-
6149910,1,K02469.01,CAND,0.613,-
3634755,2,-,-,0.606,-
5810113,2,-,-,0.596,-
3218908,4,-,-,0.585,0.626
11285136,2,-,-,0.584,-
3547091,2,-,-,0.575,-
10657664,2,-,-,0.561,-
8329629,2,-,-,0.559,-
8753896,2,-,-,0.555,0.528
7363829,1,-,-,0.553,-
9202151,1,K01393.01,CAND,0.55,-
8292150,2,-,-,0.537,-
10527135,2,-,-,0.536,-
10152836,2,-,-,0.535,0.555
2720354,2,-,-,0.533,-
5966810,1,K03909.01,CAND,0.528,0.599
3834322,2,-,-,0.525,0.562
6462874,2,K01231.02,FP,0.522,-
5092266,1,K03045.01,CAND,0.521,0.627
3097352,2,-,-,0.513,0.813
12017140,2,-,-,0.512,0.702
6593150,1,K03037.01,CAND,0.51,0.51
6606934,2,-,-,0.508,-
11391018,2,-,-,0.5,-
9791509,3,-,-,0.474,-
11252617,2,K06236.02,FP,0.466,-
3342467,2,-,-,0.458,-
5816165,1,K01043.01,FP,0.436,0.688
6209347,5,-,-,0.414,-
9149789,2,-,-,0.393,-
4149450,1,K01864.01,CAND,-,0.992
8804455,2,K02159.02,FP,-,0.986
4735826,2,-,-,-,0.981
5195172,1,K01671.01,CAND,-,0.978
12505076,1,K02154.01,CAND,-,0.971
3831053,1,K00388.01,CAND,-,0.966
7202957,2,K02687.02,CAND,-,0.952
2438513,1,K01944.01,CAND,-,0.952
8456679,2,K00102.02,FP,-,0.951
7256914,1,K04136.01,CAND,-,0.949
8480285,1,K00691.01,CAND,-,0.948
7733731,1,K04022.01,CAND,-,0.944
8644365,1,K03384.01,CAND,-,0.943
2853780,1,K02081.01,CAND,-,0.943
5374854,2,K00645.02,CAND,-,0.94
11098013,1,K02712.01,CAND,-,0.939
7287415,1,K01369.01,CAND,-,0.937
5972334,3,K00191.03,CAND,-,0.935
9140402,1,K00928.01,CAND,-,0.935
5972334,2,K00191.02,CAND,-,0.933
11394027,1,K00349.01,CAND,-,0.931
2446113,1,K00379.01,FP,-,0.927
12406749,1,K01476.01,CAND,-,0.923
8078502,1,K03383.01,CAND,-,0.923
5211199,1,K02158.01,CAND,-,0.92
5709725,2,K00555.02,CAND,-,0.919
8804845,1,K02039.01,CAND,-,0.919
5020319,1,K00635.01,CAND,-,0.912
8480582,1,K04386.01,CAND,-,0.91
6803202,1,K00177.01,CAND,-,0.91
10395543,1,K00531.01,CAND,-,0.907
11395587,1,K00350.01,CAND,-,0.907
8613535,1,K02263.01,CAND,-,0.907
10134152,1,K02056.01,CAND,-,0.906
7670943,1,K00269.01,CAND,-,0.904
10867062,1,K01303.01,CAND,-,0.901
10387742,1,K02583.01,CAND,-,0.9
9266431,1,K00704.01,CAND,-,0.9
8073806,1,K02411.01,CAND,-,0.899
6300348,1,K00212.01,CAND,-,0.899
11599038,1,K01437.01,CAND,-,0.896
11074178,2,K01889.02,CAND,-,0.896
9605514,1,K00945.01,CAND,-,0.893
9006186,3,K02169.03,CAND,-,0.893
5965819,1,K03319.01,CAND,-,0.89
8822421,1,K06188.01,FP,-,0.888
8578780,1,K02023.01,CAND,-,0.888
9896018,1,K02579.01,CAND,-,0.887
3247268,2,K01089.02,CAND,-,0.886
9006186,2,K02169.02,CAND,-,0.886
4365645,1,K01738.01,CAND,-,0.884
9823487,1,K01489.01,CAND,-,0.882
11244682,1,K03933.01,CAND,-,0.882
7097965,1,K02083.01,CAND,-,0.881
10337517,1,K01165.01,CAND,-,0.88
11030475,1,K02248.01,CAND,-,0.875
7294743,1,K02516.01,CAND,-,0.874
5436013,1,K02471.01,CAND,-,0.872
9150827,1,K01408.01,CAND,-,0.865
5953297,1,K02733.01,CAND,-,0.865
7679812,1,K03943.01,CAND,-,0.864
8678594,2,K01261.02,CAND,-,0.863
11187837,1,K00252.01,CAND,-,0.862
11071200,2,K02696.02,CAND,-,0.858
9307509,1,K02096.01,CAND,-,0.857
6587002,3,K00612.03,CAND,-,0.855
7183745,2,K02521.02,CAND,-,0.855
5360082,2,-,-,-,0.854
6383785,2,K00239.02,CAND,-,0.853
7938496,1,K00900.01,CAND,-,0.853
3642741,1,K00242.01,FP,-,0.852
3425851,1,K00268.01,CAND,-,0.851
9605514,2,K00945.02,CAND,-,0.85
9244756,1,K01969.01,CAND,-,0.848
12017109,1,K02106.01,CAND,-,0.848
11251058,1,K07429.01,FP,-,0.847
3641726,1,K00804.01,CAND,-,0.847
11874577,1,K02779.01,CAND,-,0.845
5531953,1,K01681.01,CAND,-,0.844
9117416,2,K03425.02,CAND,-,0.841
3103212,1,K04145.01,CAND,-,0.841
4951877,1,K00501.01,CAND,-,0.841
9896435,2,-,-,-,0.84
11852982,1,K00247.01,CAND,-,0.838
8043714,2,-,-,-,0.838
7899070,1,K02683.01,CAND,-,0.838
6058816,1,K03500.01,CAND,-,0.836
8505920,1,K02094.01,CAND,-,0.835
5531953,2,K01681.02,FP,-,0.833
11718144,1,K02310.01,CAND,-,0.833
5792202,3,K00841.03,CAND,-,0.832
9898447,1,K02803.01,CAND,-,0.832
4770365,1,K01475.01,CAND,-,0.832
4548098,1,K04157.01,CAND,-,0.831
11122894,3,K01426.03,CAND,-,0.831
8780959,2,K03741.02,FP,-,0.831
8142942,1,K01985.01,CAND,-,0.83
12647577,1,K04530.01,CAND,-,0.827
10118816,1,K01085.01,CAND,-,0.826
3940418,1,K00810.01,CAND,-,0.824
3937519,2,K00221.02,CAND,-,0.824
9405595,1,K02125.01,CAND,-,0.822
2854181,1,K02232.01,CAND,-,0.821
6364215,2,K02404.02,FP,-,0.82
5342473,1,K02297.01,CAND,-,0.818
9153823,1,K06195.01,FP,-,0.817
7377343,1,K05384.01,CAND,-,0.813
9427402,1,K01397.01,CAND,-,0.812
7386827,1,K01704.01,CAND,-,0.81
7877978,1,K02760.01,CAND,-,0.809
6356692,1,K02948.01,CAND,-,0.809
11566064,2,K00353.02,CAND,-,0.809
8935810,1,K01395.01,CAND,-,0.808
10525049,1,K04252.01,CAND,-,0.806
6867588,1,K02571.01,CAND,-,0.805
11656302,2,-,-,-,0.803
11818872,1,K02581.01,CAND,-,0.803
4473226,1,K02229.01,CAND,-,0.802
5441980,1,K00607.01,CAND,-,0.802
11821363,1,K01494.01,CAND,-,0.8
10252275,1,K03130.01,CAND,-,0.8
5601258,1,K02191.01,CAND,-,0.8
11752906,1,K00253.01,CAND,-,0.795
3109930,1,K01112.01,CAND,-,0.795
5613821,1,K02915.01,CAND,-,0.795
8742590,1,K01281.01,CAND,-,0.792
5629353,3,K06132.03,CAND,-,0.791
7124026,1,K02275.01,FP,-,0.791
4458082,2,K02303.02,CAND,-,0.791
3859628,1,K01191.01,CAND,-,0.788
2438502,2,-,-,-,0.786
10350571,2,K01175.02,CAND,-,0.785
4770365,2,K01475.02,CAND,-,0.785
11253711,1,K01972.01,CAND,-,0.785
6198182,1,K02636.01,CAND,-,0.782
10363115,1,K03908.01,CAND,-,0.781
4140813,1,K02117.01,CAND,-,0.779
5716932,1,K02358.01,CAND,-,0.778
4173026,1,K02172.01,CAND,-,0.778
8013439,3,K02352.03,CAND,-,0.778
8558011,1,K00577.01,CAND,-,0.777
10015937,1,K01720.01,CAND,-,0.777
3450040,1,K04205.01,CAND,-,0.775
8410415,1,K02291.01,CAND,-,0.773
7051180,1,K00064.01,CAND,-,0.771
9772531,1,K00950.01,CAND,-,0.77
10676824,1,K00599.01,CAND,-,0.77
3128552,3,K02055.03,CAND,-,0.77
3122872,1,K03203.01,CAND,-,0.769
11904734,1,K01764.01,CAND,-,0.768
7135852,1,K00875.01,CAND,-,0.767
9595686,1,K00944.01,CAND,-,0.767
7779077,1,K01842.01,CAND,-,0.767
5787131,1,K02927.01,CAND,-,0.766
8414216,1,K07036.01,FP,-,0.766
5794570,2,K02675.02,CAND,-,0.764
10354039,1,K01159.01,CAND,-,0.763
10917681,1,K01963.01,CAND,-,0.763
12105051,1,K00141.01,CAND,-,0.762
11810124,1,K03344.01,CAND,-,0.761
10485250,2,-,-,-,0.761
10875007,1,K04149.01,CAND,-,0.76
6946199,2,K01359.02,CAND,-,0.759
10793172,1,K02871.01,CAND,-,0.758
