kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT
10471621,1,K02554.01,CAND,-,-,0.568,0.499
9003401,1,K02319.01,CAND,-,-,0.567,-
9328641,2,-,-,-,-,0.567,-
9714572,8,-,-,-,-,0.567,-
6837283,1,K02914.01,CAND,-,-,0.567,-
9002538,2,K03196.02,CAND,-,-,0.566,-
2444412,1,K00103.01,CAND,0.924,-,0.565,0.459
9993529,1,K02644.01,FP,-,-,0.565,-
11968463,4,K02433.04,CAND,-,-,0.565,0.49
3231341,5,-,-,0.894,0.877,0.564,0.555
7137725,1,K01699.01,FP,-,-,0.564,0.574
5621333,2,K03341.02,CAND,-,-,0.561,0.557
8480582,1,K04386.01,CAND,-,-,0.561,0.91
10122538,5,K02926.05,CAND,-,-,0.559,0.673
10875007,2,K04149.02,CAND,-,-,0.558,-
8056665,2,K00089.02,CAND,-,-,0.558,0.55
5906694,1,K04069.01,CAND,-,-,0.557,0.556
8540376,1,K07892.01,CAND,-,-,0.557,0.577
3239671,1,K02066.01,CAND,-,-,0.557,0.515
7256914,2,K04136.02,CAND,-,-,0.557,0.678
4058206,3,-,-,-,-,0.555,-
11394027,1,K00349.01,CAND,-,-,0.554,0.931
7825899,3,K00896.03,CAND,-,-,0.553,-
5471059,2,K03956.02,FP,-,-,0.553,-
7749773,1,K02848.01,CAND,-,-,0.552,0.634
12602335,3,-,-,-,-,0.551,-
6606438,1,K02860.01,CAND,-,-,0.551,-
5775129,1,K02802.01,CAND,0.972,0.947,0.551,0.719
8684730,1,K00319.01,CAND,-,-,0.551,0.575
9872292,1,K01537.01,CAND,-,-,0.551,0.704
5552761,7,-,-,-,-,0.55,-
5881120,1,K04156.01,CAND,-,-,0.55,0.621
10005758,2,K01783.02,CAND,0.993,0.737,0.55,0.548
5773121,1,K04002.01,CAND,0.658,0.86,0.549,0.652
4140813,1,K02117.01,CAND,-,-,0.549,0.779
9071593,2,K02257.02,CAND,-,-,0.549,0.573
4830605,1,K01660.01,CAND,-,-,0.548,-
7841925,2,K01499.02,CAND,-,-,0.548,-
9283156,1,K02657.01,CAND,-,-,0.547,0.625
7287118,4,-,-,-,-,0.547,-
11700604,7,-,-,-,-,0.547,-
12217824,3,-,-,-,-,0.546,-
3967219,3,-,-,-,-,0.546,-
9661979,1,K02132.01,CAND,-,-,0.546,0.673
4665571,1,K02393.01,CAND,-,-,0.545,-
10924400,2,-,-,-,-,0.544,0.757
7102227,3,K01360.03,CAND,-,-,0.544,0.708
10397751,4,K02859.04,CAND,-,-,0.544,-
9086251,1,K02367.01,CAND,-,-,0.543,0.547
5450893,1,K02970.01,CAND,-,-,0.543,0.7
7582608,4,-,-,-,-,0.543,-
8880123,1,K03493.01,CAND,-,-,0.541,0.641
6300348,1,K00212.01,CAND,-,-,0.54,0.899
6677841,3,-,-,0.829,0.571,0.54,0.531
7032429,5,-,-,-,-,0.54,-
5360082,2,-,-,-,-,0.539,0.854
5357545,1,K02219.01,CAND,-,-,0.539,-
11513486,1,K04748.01,CAND,-,-,0.538,-
6632435,2,-,-,-,-,0.538,-
5544450,1,K03226.01,CAND,-,-,0.538,0.675
10351231,1,K01166.01,CAND,-,-,0.537,0.656
6441738,1,K01246.01,CAND,-,-,0.536,0.67
8651389,1,K01754.01,CAND,0.984,0.948,0.536,0.679
9009953,1,K04014.01,CAND,-,-,0.536,-
5092266,1,K03045.01,CAND,0.521,0.98,0.535,0.627
10922659,1,K03335.01,CAND,-,-,0.534,0.719
8013419,1,K00901.01,CAND,-,-,0.534,0.566
8260218,1,K01066.01,CAND,-,-,0.533,0.475
10813078,1,K05831.01,CAND,-,-,0.532,0.575
7100673,5,K04032.05,CAND,-,-,0.532,-
4945266,2,-,-,-,-,0.531,-
5008245,1,K03770.01,CAND,-,-,0.531,-
9491205,3,-,-,-,0.385,0.531,-
7035274,3,-,-,-,-,0.53,-
8874090,2,K01404.02,CAND,-,-,0.53,-
9092504,2,K02716.02,CAND,-,-,0.53,-
7939330,1,K01581.01,CAND,-,-,0.527,0.532
4912650,1,K05098.01,CAND,0.66,-,0.526,0.516
7363829,1,-,-,0.553,-,0.525,-
5724810,1,-,-,-,-,0.524,0.526
8935810,1,K01395.01,CAND,-,-,0.523,0.808
8707670,5,-,-,-,-,0.523,-
4385148,1,K02942.01,CAND,-,-,0.521,0.668
9166700,1,K05632.01,CAND,-,-,0.521,0.591
7768451,1,K01527.01,CAND,-,-,0.52,0.67
8265218,1,K00522.01,CAND,-,-,0.52,0.735
6636320,1,K02989.01,CAND,-,-,0.52,-
5613821,1,K02915.01,CAND,-,-,0.518,0.795
8524712,3,-,-,-,-,0.517,-
12069786,3,-,-,-,-,0.517,-
6183511,1,K02542.01,CAND,-,-,0.516,0.635
8456679,1,K00102.01,CAND,-,-,0.514,-
8760040,2,K02963.02,CAND,-,-,0.512,-
8008067,3,K00316.03,CAND,-,-,0.512,-
4840513,2,-,-,1.0,0.922,0.512,0.946
5124667,1,K01822.01,CAND,0.722,0.82,0.512,0.736
9490506,2,-,-,-,-,0.511,-
5372081,7,-,-,-,-,0.51,-
7533425,6,-,-,-,-,0.509,-
8758204,1,K02841.01,CAND,-,-,0.509,0.547
7869590,2,-,-,-,-,0.509,-
9279865,3,-,-,-,-,0.507,-
7872212,7,-,-,-,-,0.507,-
3112129,2,-,-,0.977,0.8,0.507,-
4939265,3,-,-,-,0.462,0.506,0.659
12009347,2,-,-,0.999,0.86,0.506,0.738
10187017,6,K00082.06,CAND,-,-,0.506,-
9673338,9,-,-,-,-,0.505,-
7117284,2,-,-,-,-,0.504,0.44
3122872,1,K03203.01,CAND,-,-,0.503,0.769
5963582,1,K02479.01,CAND,-,-,0.503,0.668
11450414,3,K01992.03,FP,-,-,0.502,-
11046025,1,K01646.01,CAND,-,-,0.502,-
4370956,2,-,-,-,-,0.501,-
11177543,1,K01648.01,CAND,-,-,0.501,0.605
10853783,2,-,-,-,-,0.5,-
11465651,1,K04150.01,CAND,-,-,0.499,-
9579208,1,K03165.01,CAND,-,-,0.499,-
9700145,2,-,-,-,-,0.497,-
5792202,4,K00841.04,FP,-,-,0.497,0.602
10798331,1,K02373.01,CAND,-,-,0.496,-
4077526,4,K01336.04,CAND,-,-,0.496,-
5004909,1,K03421.01,FP,-,-,0.496,0.516
3453026,2,-,-,-,-,0.496,-
8414216,1,K07036.01,FP,-,-,0.494,0.766
7115249,7,-,-,-,-,0.494,-
9086154,1,K04060.01,CAND,-,-,0.491,0.481
12257999,1,K02577.01,CAND,-,-,0.49,0.539
7031126,7,-,-,-,-,0.487,-
6432345,1,K02757.01,CAND,0.999,0.943,0.486,0.705
10717241,2,K00430.02,CAND,-,-,0.486,0.495
6115603,10,-,-,-,-,0.486,-
2443393,1,K02603.01,CAND,-,-,0.485,-
10482774,7,-,-,-,-,0.485,-
6945500,5,-,-,-,-,0.484,-
7031126,3,-,-,-,-,0.483,-
5095635,1,K02607.01,CAND,0.995,0.823,0.483,0.529
2993589,5,-,-,-,-,0.481,-
8280511,5,K01151.05,CAND,-,-,0.479,-
9512981,1,K01466.01,CAND,-,-,0.479,-
7352016,1,-,-,-,-,0.478,-
7047496,2,-,-,-,-,0.478,-
7032218,3,-,-,-,-,0.477,-
7673192,5,K02722.05,CAND,-,-,0.477,-
4566740,8,-,-,-,-,0.477,-
4566740,9,-,-,-,-,0.476,-
11127641,5,-,-,-,-,0.474,-
3660392,6,-,-,-,-,0.471,-
8280511,4,K01151.04,CAND,-,-,0.471,-
2438502,2,-,-,-,0.481,0.471,0.786
3561700,5,-,-,-,-,0.471,-
5302881,2,-,-,-,-,0.47,-
7211759,8,-,-,-,-,0.468,-
10028792,3,K01574.03,CAND,-,-,0.466,-
6140084,10,-,-,-,-,0.464,-
7117444,6,-,-,-,-,0.464,-
5476864,2,-,-,-,-,0.464,0.529
10206675,2,-,-,-,-,0.462,-
8826317,10,-,-,-,-,0.462,-
9099950,7,-,-,-,-,0.462,-
4263801,4,-,-,-,-,0.462,-
11100532,9,-,-,-,-,0.461,-
8527297,3,-,-,-,-,0.461,-
1433399,3,-,-,-,-,0.458,-
9237305,5,-,-,-,-,0.458,-
7041634,2,-,-,-,-,0.458,0.514
3450040,1,K04205.01,CAND,-,-,0.458,0.775
10397751,5,K02859.05,CAND,-,-,0.458,-
3975085,7,-,-,-,-,0.458,-
10132618,2,-,-,-,-,0.455,-
8971294,2,-,-,-,-,0.455,-
7335514,1,K06860.01,CAND,-,-,0.455,-
5787972,10,-,-,-,-,0.454,-
10877367,6,-,-,-,-,0.454,-
5088084,4,-,-,-,-,0.454,-
10552700,4,-,-,-,-,0.452,-
2712825,1,K08086.01,FP,-,-,0.449,-
9457728,1,K04637.01,CAND,-,0.429,0.449,0.646
6783562,8,-,-,-,-,0.446,-
3120650,4,-,-,-,-,0.445,-
8950019,8,-,-,-,-,0.444,-
7880676,2,-,-,-,-,0.442,0.473
9278696,3,-,-,-,-,0.441,-
8783270,5,-,-,-,-,0.44,-
2436450,6,-,-,-,-,0.439,-
8553462,10,-,-,-,-,0.439,-
8431611,3,-,-,-,-,0.438,-
4739229,3,-,-,-,-,0.436,-
8176564,1,K02720.01,CAND,-,-,0.435,-
6945362,8,-,-,-,-,0.434,-
1026133,2,-,-,-,-,0.433,-
9178894,3,-,-,-,-,0.433,-
7533425,5,-,-,-,-,0.43,-
6041680,3,-,-,-,-,0.43,-
9156461,10,-,-,-,-,0.43,-
8894646,1,K02641.01,CAND,-,-,0.429,0.485
10843431,2,K07378.02,CAND,-,-,0.428,-
9006186,4,K02169.04,CAND,-,-,0.424,-
10652379,10,-,-,-,-,0.423,-
8096395,1,K07587.01,CAND,-,-,0.423,-
3764879,1,K02141.01,FP,-,-,0.423,-
11356602,1,K07439.01,FP,-,-,0.42,-
4347340,4,-,-,-,-,0.42,-
10395312,10,-,-,-,-,0.413,-
3247616,4,-,-,-,-,0.413,-
11968463,6,-,-,-,-,0.411,-
7446357,10,-,-,-,-,0.41,-
2436450,7,-,-,-,-,0.409,-
8328003,6,-,-,-,-,0.408,0.41
5812648,4,-,-,-,-,0.408,-
8840117,8,-,-,-,-,0.408,-
7446357,8,-,-,-,-,0.402,-
6500206,1,K02451.01,FP,-,-,0.401,0.418
6721523,7,-,-,-,-,0.401,-
8362880,2,-,-,-,-,0.399,-
7900137,2,-,-,-,-,0.398,-
5471059,1,K03956.01,FP,-,-,0.397,-
7816992,10,-,-,-,-,0.395,-
5265699,9,-,-,-,-,0.394,-
1718958,1,K04053.01,CAND,-,-,0.391,0.411
5295670,4,-,-,-,-,0.387,-
6277594,2,-,-,-,-,0.386,-
8396405,1,K01733.01,CAND,-,-,0.383,0.517
4157325,4,K01860.04,FP,-,-,0.382,0.592
9166826,7,-,-,-,-,0.381,-
8613535,4,-,-,-,-,0.381,-
11919968,9,-,-,-,-,0.379,-
8818497,2,-,-,-,-,0.373,-
3558849,1,K04307.01,CAND,-,-,0.364,-
4066898,3,-,-,-,-,0.362,-
10801647,8,-,-,-,-,0.356,-
10321305,8,-,-,-,-,0.354,-
7115878,5,-,-,-,-,0.353,-
8460081,5,-,-,-,-,0.35,-
4145040,4,-,-,-,-,0.347,-
7582608,6,-,-,-,-,0.345,-
5270698,2,-,-,0.999,-,-,0.578
8416523,2,-,-,0.995,-,-,-
5774557,2,-,-,0.995,-,-,-
8561063,4,-,-,0.99,-,-,-
8236479,1,-,-,0.978,-,-,-
10843431,1,K07378.01,CAND,0.961,-,-,0.741
6500206,2,-,-,0.939,-,-,-
6451605,1,-,-,0.906,-,-,-
7450747,1,K04267.01,CAND,0.883,-,-,0.494
11246161,2,-,-,0.878,0.5,-,0.51
8415004,4,-,-,0.876,-,-,-
11465950,1,K02620.01,CAND,0.834,0.959,-,0.509
5551672,1,K03119.01,CAND,0.829,-,-,0.452
5446285,2,-,-,0.823,-,-,-
3323887,4,-,-,0.817,-,-,-
6750902,2,-,-,0.798,-,-,-
6185476,3,-,-,0.781,-,-,-
2574338,1,K01030.01,CAND,0.765,0.949,-,0.525
7269881,2,-,-,0.757,-,-,-
6185476,2,-,-,0.757,-,-,-
7119481,3,K00566.03,CAND,0.736,-,-,-
10073672,1,K02764.01,CAND,0.732,-,-,-
5114623,8,-,-,0.708,-,-,-
5446285,3,-,-,0.7,-,-,0.418
6060277,2,-,-,0.683,-,-,-
4665571,2,K02393.02,CAND,0.681,0.821,-,0.699
9413313,1,-,-,0.637,-,-,-
6149910,1,K02469.01,CAND,0.613,-,-,-
3634755,2,-,-,0.606,-,-,-
5810113,2,-,-,0.596,-,-,-
8329629,2,-,-,0.559,-,-,-
9202151,1,K01393.01,CAND,0.55,-,-,-
8292150,2,-,-,0.537,-,-,-
10527135,2,-,-,0.536,-,-,-
6462874,2,K01231.02,FP,0.522,-,-,-
6593150,1,K03037.01,CAND,0.51,-,-,0.51
11391018,2,-,-,0.5,-,-,-
9791509,3,-,-,0.474,-,-,-
3342467,2,-,-,0.458,-,-,-
5816165,1,K01043.01,FP,0.436,0.471,-,0.688
4773392,1,K04367.01,CAND,-,0.538,-,-
5357470,2,-,-,-,0.455,-,-
3962728,2,-,-,-,0.452,-,-
8038679,1,-,-,-,0.424,-,-
6609270,2,K03090.02,FP,-,0.409,-,-
9710998,1,-,-,-,0.406,-,-
12302530,3,-,-,-,0.404,-,0.416
7299905,1,-,-,-,0.4,-,-
8681125,1,-,-,-,0.393,-,-
6785967,1,-,-,-,0.379,-,-
10024862,2,-,-,-,0.375,-,-
2163457,1,-,-,-,0.36,-,-
12207117,2,-,-,-,0.359,-,-
4735826,2,-,-,-,-,-,0.981
8822421,1,K06188.01,FP,-,-,-,0.888
7097965,1,K02083.01,CAND,-,-,-,0.881
11251058,1,K07429.01,FP,-,-,-,0.847
8142942,1,K01985.01,CAND,-,-,-,0.83
12647577,1,K04530.01,CAND,-,-,-,0.827
9427402,1,K01397.01,CAND,-,-,-,0.812
8742590,1,K01281.01,CAND,-,-,-,0.792
4458082,2,K02303.02,CAND,-,-,-,0.791
10015937,1,K01720.01,CAND,-,-,-,0.777
7051180,1,K00064.01,CAND,-,-,-,0.771
11904734,1,K01764.01,CAND,-,-,-,0.768
7779077,1,K01842.01,CAND,-,-,-,0.767
10354039,1,K01159.01,CAND,-,-,-,0.763
10917681,1,K01963.01,CAND,-,-,-,0.763
3648437,1,K01861.01,CAND,-,-,-,0.756
10094670,1,K01984.01,CAND,-,-,-,0.748
8256453,1,K02573.01,CAND,-,-,-,0.747
6291837,1,K00308.01,CAND,-,-,-,0.746
8949925,1,K02972.01,CAND,-,-,-,0.733
7103919,1,K04310.01,CAND,-,-,-,0.732
3967326,1,K02084.01,CAND,-,-,-,0.729
7017274,2,K03209.02,CAND,-,-,-,0.718
10736489,1,K07368.01,CAND,-,-,-,0.717
7021681,2,K00255.02,CAND,-,-,-,0.701
8581240,1,K03111.01,CAND,-,-,-,0.699
6185476,1,-,-,-,-,-,0.69
3756264,1,K03108.01,CAND,-,-,-,0.687
12456063,1,K04329.01,CAND,-,-,-,0.685
8591693,1,K02123.01,CAND,-,-,-,0.679
7750419,1,K01708.01,CAND,-,-,-,0.679
6707908,1,K02014.01,CAND,-,-,-,0.678
8158429,1,K05482.01,CAND,-,-,-,0.677
9602613,1,K02612.01,CAND,-,-,-,0.675
9635606,1,K02535.01,CAND,-,-,-,0.67
9834731,1,K03043.01,CAND,-,-,-,0.661
5705819,1,K02091.01,CAND,-,-,-,0.649
8617363,1,K02945.01,CAND,-,-,-,0.648
3554031,2,K01194.02,FP,-,-,-,0.635
10155029,1,K03208.01,CAND,-,-,-,0.632
5475042,1,K03050.01,CAND,-,-,-,0.63
11856178,1,K06246.01,CAND,-,-,-,0.629
4676964,1,K03069.01,CAND,-,-,-,0.627
9472074,1,K02735.01,CAND,-,-,-,0.625
3545135,1,K02755.01,CAND,-,-,-,0.62
5003670,1,K04524.01,CAND,-,-,-,0.619
4919550,1,K04766.01,CAND,-,-,-,0.617
8824737,1,K03347.01,CAND,-,-,-,0.615
2975770,2,K01788.02,FP,-,-,-,0.614
5308537,1,K04409.01,CAND,-,-,-,0.608
1724719,2,K04212.02,CAND,-,-,-,0.606
6523351,1,K03117.01,CAND,-,-,-,0.606
12208631,1,K02449.01,CAND,-,-,-,0.602
9011877,1,K05597.01,CAND,-,-,-,0.595
12602314,1,K02853.01,CAND,-,-,-,0.595
7609674,1,K03128.01,CAND,-,-,-,0.594
11124436,1,K04442.01,CAND,-,-,-,0.586
7106173,1,K03083.01,CAND,-,-,-,0.575
7446631,1,K02598.01,CAND,-,-,-,0.572
5003670,2,K04524.02,CAND,-,-,-,0.569
10514430,4,-,-,-,-,-,0.568
4857058,1,K03061.01,CAND,-,-,-,0.565
11081504,1,K04287.01,CAND,-,-,-,0.565
2973386,1,K03034.01,CAND,-,-,-,0.565
5211199,2,K02158.02,CAND,-,-,-,0.563
9957627,1,K00592.01,CAND,-,-,-,0.563
10141900,2,K01082.02,CAND,-,-,-,0.558
10597693,1,K02958.01,CAND,-,-,-,0.555
7918478,1,K04209.01,CAND,-,-,-,0.553
3559860,1,K03440.01,FP,-,-,-,0.551
9836563,1,K04421.01,CAND,-,-,-,0.551
9020114,1,K03088.01,CAND,-,-,-,0.549
5428657,1,K06130.01,CAND,-,-,-,0.549
10874215,1,K02305.01,CAND,-,-,-,0.548
10265898,2,K00732.02,CAND,-,-,-,0.546
8827575,1,K03052.01,CAND,-,-,-,0.544
11125797,1,K03371.01,CAND,-,-,-,0.543
7512982,2,K01480.02,CAND,-,-,-,0.543
6131236,1,K01051.01,CAND,-,-,-,0.542
8804283,2,K01276.02,CAND,-,-,-,0.537
4172805,1,K04427.01,CAND,-,-,-,0.536
5106313,1,K02878.01,CAND,-,-,-,0.536
12061969,1,K02061.01,FP,-,-,-,0.536
8390826,1,-,-,-,-,-,0.535
4860678,2,K01602.02,CAND,-,-,-,0.53
7107802,2,K02420.02,CAND,-,-,-,0.527
9002538,1,K03196.01,CAND,-,-,-,0.527
5544450,2,K03226.02,CAND,-,-,-,0.526
6945786,1,K03136.01,CAND,-,-,-,0.526
9716028,1,K04273.01,CAND,-,-,-,0.525
6061773,1,K02001.01,CAND,-,-,-,0.525
11599038,2,K01437.02,FP,-,-,-,0.521
5103942,2,-,-,-,-,-,0.521
2019477,1,K06093.01,FP,-,-,-,0.52
4061149,1,K01201.01,CAND,-,-,-,0.52
5436338,1,K02835.01,CAND,-,-,-,0.519
4060229,1,K04570.01,CAND,-,-,-,0.515
9288237,1,K03114.01,CAND,-,-,-,0.514
9896018,3,K02579.03,CAND,-,-,-,0.513
6026737,1,K02949.01,CAND,-,-,-,0.511
6153407,1,K03179.01,CAND,-,-,-,0.508
8838950,1,K02421.01,CAND,-,-,-,0.507
8963721,1,K02233.01,FP,-,-,-,0.506
5351250,5,K00408.05,FP,-,-,-,0.503
5542466,2,K01590.02,CAND,-,-,-,0.502
9650989,1,K03095.01,CAND,-,-,-,0.501
2986833,1,K04875.01,CAND,-,-,-,0.501
10666592,2,-,-,-,-,-,0.498
4547603,1,K02855.01,CAND,-,-,-,0.497
5906426,1,K02377.01,CAND,-,-,-,0.496
7288444,1,K03482.01,CAND,-,-,-,0.496
6792908,1,K04341.01,CAND,-,-,-,0.494
1849702,1,K02538.01,CAND,-,-,-,0.493
4770365,3,K01475.03,CAND,-,-,-,0.48
2852941,1,K04298.01,CAND,-,-,-,0.476
7222086,1,K01701.01,CAND,-,-,-,0.469
11246161,1,K02796.01,CAND,-,-,-,0.465
3448132,2,-,-,-,-,-,0.462
4739229,2,-,-,-,-,-,0.456
8313667,1,K01145.01,CAND,-,-,-,0.455
11509792,1,-,-,-,-,-,0.436
3338885,2,K01845.02,CAND,-,-,-,0.434
3437940,2,-,-,-,-,-,0.424
10018866,2,-,-,-,-,-,0.41
8264404,2,-,-,-,-,-,0.406
2984632,2,-,-,-,-,-,0.405
5689351,6,-,-,-,-,-,0.375
8631751,1,K02453.01,CAND,-,-,-,0.373
9897838,1,-,-,-,-,-,0.372
4769931,1,K04058.01,FP,-,-,-,0.36
