kepid,plnt num,kname,dispos,GB_vif_cap2,LR
11709124,2,-,-,1.0,0.867
4862625,2,-,-,1.0,0.685
10464078,2,-,-,1.0,0.63
5003117,2,-,-,1.0,-
5035972,2,-,-,1.0,0.866
4814502,1,K04004.01,CAND,1.0,0.653
3970233,2,-,-,1.0,0.935
5786676,1,K00650.01,CAND,1.0,0.858
11408935,2,-,-,1.0,0.843
5780885,2,-,-,1.0,0.787
9446824,2,-,-,1.0,0.908
3097926,1,K02186.01,CAND,1.0,0.837
12009347,2,-,-,1.0,0.506
5270698,2,-,-,1.0,-
9649222,2,-,-,1.0,0.81
10616571,3,-,-,1.0,0.731
12017140,2,-,-,1.0,-
6698670,2,-,-,1.0,0.826
6185476,3,-,-,1.0,-
8605074,2,-,-,1.0,-
3342592,2,-,-,1.0,0.904
9886224,2,-,-,1.0,-
6041734,2,-,-,1.0,-
3102000,2,-,-,1.0,0.822
10418797,2,-,-,1.0,0.677
3323887,2,-,-,1.0,0.677
9838975,2,-,-,1.0,0.927
6432345,1,K02757.01,CAND,1.0,0.486
8180020,2,-,-,1.0,0.927
8552719,2,K01792.02,FP,1.0,0.949
11030475,2,-,-,1.0,0.816
2444412,1,K00103.01,CAND,1.0,0.565
10923260,2,-,-,1.0,0.711
1571511,2,-,-,1.0,0.614
6603756,2,-,-,1.0,-
6762829,2,-,-,1.0,0.892
7037540,2,-,-,1.0,0.956
2581316,2,K03681.02,CAND,1.0,0.942
9346253,2,-,-,1.0,0.653
10091110,3,-,-,1.0,0.778
7975727,2,-,-,1.0,0.804
10904857,2,-,-,1.0,0.845
7584650,1,K02631.01,CAND,1.0,0.805
9411166,2,-,-,1.0,0.921
7972785,2,-,-,1.0,-
6707942,2,-,-,1.0,0.54
12504988,2,-,-,1.0,0.905
5031857,2,K01573.02,CAND,1.0,0.879
8176650,2,-,-,1.0,0.905
9288786,2,-,-,1.0,0.819
9071386,2,-,-,1.0,0.956
5872150,3,-,-,1.0,0.764
5774557,2,-,-,1.0,-
12115188,2,-,-,1.0,0.633
9714123,2,-,-,1.0,0.573
8242681,2,-,-,1.0,0.461
10794087,1,K01316.01,CAND,1.0,0.914
11404644,2,-,-,1.0,0.865
4840513,2,-,-,1.0,0.512
8953059,2,-,-,1.0,-
5376836,2,-,-,1.0,0.819
10485250,2,-,-,1.0,0.814
5370302,2,-,-,1.0,0.866
5534941,1,K02332.01,CAND,1.0,0.83
7362696,2,-,-,1.0,0.685
3734868,2,-,-,1.0,0.778
10710755,2,-,-,1.0,0.86
4851464,2,-,-,0.999,0.883
3323887,3,-,-,0.999,0.598
8263545,1,K02822.01,CAND,0.999,0.819
8458207,2,-,-,0.999,0.77
9934208,2,-,-,0.999,0.69
8655354,2,-,-,0.999,0.691
10016874,1,K00426.01,CAND,0.999,0.85
5356593,2,-,-,0.999,0.775
9705459,2,-,-,0.999,-
5980783,1,K02967.01,CAND,0.999,0.663
7186665,2,-,-,0.999,-
5775129,1,K02802.01,CAND,0.999,0.551
7023960,2,-,-,0.999,0.798
10287248,2,-,-,0.999,0.795
8460600,2,-,-,0.999,0.82
7605600,2,-,-,0.999,-
8953257,2,-,-,0.999,-
8892910,2,-,-,0.999,0.809
6756669,2,-,-,0.999,-
5372966,2,-,-,0.999,0.485
5551672,1,K03119.01,CAND,0.999,-
9413313,1,-,-,0.998,-
9995771,1,K03470.01,CAND,0.998,0.636
9016295,2,-,-,0.998,-
8074805,2,-,-,0.998,0.674
3757778,2,-,-,0.998,0.655
6504534,3,-,-,0.998,-
8686150,2,-,-,0.998,0.805
8043714,2,-,-,0.997,0.803
6889235,2,-,-,0.996,0.536
3231341,5,-,-,0.996,0.564
11656302,2,-,-,0.996,-
4932348,2,-,-,0.996,-
6666233,2,-,-,0.996,0.727
7270230,2,-,-,0.995,-
8695779,2,-,-,0.995,-
11189127,2,-,-,0.994,0.625
3558981,2,-,-,0.994,-
10415087,1,-,-,0.994,-
11126381,1,K01863.01,CAND,0.994,0.776
8126558,1,K02259.01,CAND,0.994,-
4242147,1,K01934.01,CAND,0.993,0.761
5978559,1,K02321.01,CAND,0.993,0.693
11601584,4,K01831.04,CAND,0.993,0.529
4037428,2,-,-,0.992,-
8951205,1,K04099.01,CAND,0.992,-
11495305,2,-,-,0.991,-
2449431,1,K02009.01,CAND,0.991,0.861
9149789,2,-,-,0.99,0.423
5124667,1,K01822.01,CAND,0.99,0.512
9632895,2,-,-,0.989,0.856
7869590,2,-,-,0.988,0.509
5095635,1,K02607.01,CAND,0.988,0.483
11465950,1,K02620.01,CAND,0.986,-
9411471,1,-,-,0.985,-
10005758,2,K01783.02,CAND,0.984,0.55
9474222,2,-,-,0.984,-
6750902,2,-,-,0.983,-
10295951,2,-,-,0.983,-
6805146,2,-,-,0.981,0.651
5728283,2,-,-,0.98,-
9836959,1,K01715.01,CAND,0.977,0.69
6365321,1,K01123.01,FP,0.977,-
8236479,1,-,-,0.976,-
6847018,2,-,-,0.975,-
6428794,1,K04054.01,CAND,0.975,0.607
1026957,1,K00958.01,CAND,0.975,-
9204103,1,-,-,0.975,-
3342467,2,-,-,0.974,-
6525209,3,-,-,0.973,-
5773121,1,K04002.01,CAND,0.972,0.549
7375348,2,K00266.02,CAND,0.971,0.579
6131236,1,K01051.01,CAND,0.97,-
4042026,2,-,-,0.967,-
5554685,1,-,-,0.966,-
2718778,1,K02489.01,CAND,0.965,0.596
11972526,3,-,-,0.964,-
6866228,2,-,-,0.963,-
9098590,2,-,-,0.961,-
5098444,2,-,-,0.954,-
10006641,2,-,-,0.953,-
10332789,2,-,-,0.953,0.471
11192235,1,K02329.01,CAND,0.951,0.673
3834322,2,-,-,0.949,0.496
9782748,1,K04856.01,CAND,0.947,-
9528430,2,-,-,0.945,0.654
3218908,4,-,-,0.944,0.591
4862625,4,-,-,0.939,-
7211759,3,-,-,0.932,-
3547091,2,-,-,0.932,-
10973583,2,-,-,0.925,-
4650733,1,K01659.01,CAND,0.925,0.655
10384962,2,-,-,0.919,-
11246161,2,-,-,0.919,-
5080636,3,-,-,0.918,-
4937435,2,-,-,0.918,-
6784155,3,-,-,0.918,-
2574338,1,K01030.01,CAND,0.916,-
2719873,2,-,-,0.905,-
8801343,2,-,-,0.904,-
9700449,1,K04120.01,CAND,0.903,0.684
5816165,1,K01043.01,FP,0.892,-
6185476,2,-,-,0.884,-
5213230,1,K03474.01,CAND,0.879,0.59
6523216,2,-,-,0.877,-
5979863,2,-,-,0.875,-
10152836,2,-,-,0.874,0.463
4150390,2,-,-,0.872,-
12644769,3,-,-,0.868,-
11968463,3,K02433.03,CAND,0.858,0.653
2694337,3,-,-,0.847,-
11909839,2,-,-,0.842,-
12170648,2,-,-,0.835,0.56
9528420,2,-,-,0.831,-
9279865,3,-,-,0.826,0.507
4862625,5,-,-,0.826,-
4078693,2,-,-,0.818,-
10186945,2,-,-,0.809,0.612
5983348,2,-,-,0.805,-
12164634,6,-,-,0.804,0.509
5092266,1,K03045.01,CAND,0.799,0.535
5103942,2,-,-,0.786,-
6593150,1,K03037.01,CAND,0.786,-
9941662,2,-,-,0.786,-
12454613,1,-,-,0.764,-
8617363,1,K02945.01,CAND,0.762,-
8651389,1,K01754.01,CAND,0.759,0.536
9414097,3,-,-,0.759,-
8823868,2,-,-,0.758,0.595
10583180,2,-,-,0.735,0.569
8561063,4,-,-,0.734,-
6614926,2,-,-,0.717,0.693
4049124,2,-,-,0.704,-
7199060,1,K04152.01,CAND,0.689,-
8416523,2,-,-,0.682,-
5014753,2,-,-,0.68,-
5077629,2,-,-,0.67,-
11285136,2,-,-,0.67,-
7024530,2,-,-,0.665,-
9697131,1,K02706.01,CAND,0.665,0.803
10681550,3,-,-,0.651,-
8233504,1,-,-,0.65,-
5360082,2,-,-,0.647,0.539
11189284,3,-,-,0.643,-
2832589,1,K01942.01,CAND,0.629,0.628
11513486,1,K04748.01,CAND,0.619,0.538
1720673,1,-,-,0.617,-
9028474,4,-,-,0.609,-
4547480,2,-,-,0.604,0.659
8415004,4,-,-,0.603,-
8753896,2,-,-,0.598,0.574
7363829,1,-,-,0.582,0.525
9119568,7,-,-,0.575,-
9716028,1,K04273.01,CAND,0.574,-
3112129,2,-,-,0.572,0.507
9411317,2,-,-,0.564,-
7051984,2,-,-,0.555,-
7269881,2,-,-,0.552,-
5966810,1,K03909.01,CAND,0.545,0.631
5876805,2,-,-,0.542,-
9963461,2,-,-,0.537,-
8230809,2,-,-,0.528,-
11517719,2,-,-,0.528,-
10252275,1,K03130.01,CAND,0.523,0.644
5446285,2,-,-,0.522,-
10973664,2,K00601.02,CAND,0.515,0.709
11442465,2,-,-,0.513,0.677
10657664,2,-,-,0.511,-
7450747,1,K04267.01,CAND,0.51,-
10843431,1,K07378.01,CAND,0.501,-
5780460,2,-,-,0.5,-
11654267,1,-,-,0.464,-
4168016,1,-,-,0.439,-
6579806,2,-,-,0.392,0.558
7751562,2,-,-,0.363,-
8456679,2,K00102.02,FP,-,0.972
8480285,1,K00691.01,CAND,-,0.971
8804455,2,K02159.02,FP,-,0.963
10788461,1,K03925.01,CAND,-,0.959
8644365,1,K03384.01,CAND,-,0.948
8804845,1,K02039.01,CAND,-,0.945
3831053,1,K00388.01,CAND,-,0.944
12505076,1,K02154.01,CAND,-,0.944
4149450,1,K01864.01,CAND,-,0.943
5709725,2,K00555.02,CAND,-,0.937
5374854,2,K00645.02,CAND,-,0.93
3247268,2,K01089.02,CAND,-,0.927
11098013,1,K02712.01,CAND,-,0.924
3641726,1,K00804.01,CAND,-,0.917
7938496,1,K00900.01,CAND,-,0.916
6364215,2,K02404.02,FP,-,0.915
5972334,2,K00191.02,CAND,-,0.915
8934495,1,K00524.01,CAND,-,0.91
11566064,2,K00353.02,CAND,-,0.909
11030475,1,K02248.01,CAND,-,0.907
9605514,1,K00945.01,CAND,-,0.905
5965819,1,K03319.01,CAND,-,0.903
5531953,1,K01681.01,CAND,-,0.903
9605514,2,K00945.02,CAND,-,0.903
5972334,3,K00191.03,CAND,-,0.9
3642741,1,K00242.01,FP,-,0.899
10867062,1,K01303.01,CAND,-,0.896
5794570,2,K02675.02,CAND,-,0.896
9823487,1,K01489.01,CAND,-,0.894
11187837,1,K00252.01,CAND,-,0.893
8495415,1,K02362.01,FP,-,0.892
9266431,1,K00704.01,CAND,-,0.89
11071200,2,K02696.02,CAND,-,0.887
5770074,1,K01928.01,CAND,-,0.887
2853780,1,K02081.01,CAND,-,0.885
5792202,3,K00841.03,CAND,-,0.884
9150827,1,K01408.01,CAND,-,0.883
8613535,1,K02263.01,CAND,-,0.88
5374838,1,K05155.01,CAND,-,0.877
5342473,1,K02297.01,CAND,-,0.875
5211199,1,K02158.01,CAND,-,0.873
8073806,1,K02411.01,CAND,-,0.873
11297236,1,K01857.01,CAND,-,0.872
5031857,1,K01573.01,CAND,-,0.871
7697568,1,K01829.01,FP,-,0.869
9006186,2,K02169.02,CAND,-,0.868
11874577,1,K02779.01,CAND,-,0.868
2438513,1,K01944.01,CAND,-,0.867
9592705,1,K00288.01,CAND,-,0.867
6049190,1,K01685.01,CAND,-,0.867
3940418,1,K00810.01,CAND,-,0.866
5020319,1,K00635.01,CAND,-,0.866
6946199,2,K01359.02,CAND,-,0.865
7670943,1,K00269.01,CAND,-,0.864
10676824,1,K00599.01,CAND,-,0.859
11810124,1,K03344.01,CAND,-,0.854
6383785,2,K00239.02,CAND,-,0.853
5195172,1,K01671.01,CAND,-,0.85
10134152,1,K02056.01,CAND,-,0.85
11071200,1,K02696.01,CAND,-,0.848
9117416,2,K03425.02,CAND,-,0.845
4770365,2,K01475.02,CAND,-,0.843
7887791,1,K01964.01,CAND,-,0.841
7364176,1,K00373.01,CAND,-,0.84
9006186,3,K02169.03,CAND,-,0.838
9904006,2,K02135.02,CAND,-,0.837
11026304,1,K01420.01,CAND,-,0.836
3128552,3,K02055.03,CAND,-,0.834
11337141,1,K01649.01,CAND,-,0.832
7899070,1,K02683.01,CAND,-,0.832
4365645,1,K01738.01,CAND,-,0.83
9244756,1,K01969.01,CAND,-,0.83
10395543,1,K00531.01,CAND,-,0.829
9636135,2,K01498.02,CAND,-,0.828
6587002,3,K00612.03,CAND,-,0.826
7948784,1,K01968.01,CAND,-,0.823
11705004,1,K02199.01,CAND,-,0.822
9837661,3,K02715.03,CAND,-,0.82
12017109,1,K02106.01,CAND,-,0.819
11599038,1,K01437.01,CAND,-,0.819
4466677,2,K01338.02,CAND,-,0.817
3109930,1,K01112.01,CAND,-,0.814
5219234,3,K01563.03,CAND,-,0.813
11852982,1,K00247.01,CAND,-,0.812
7256914,1,K04136.01,CAND,-,0.811
5384713,1,K03444.01,CAND,-,0.809
11568987,2,K00354.02,CAND,-,0.805
7679812,1,K03943.01,CAND,-,0.804
9896018,2,K02579.02,CAND,-,0.804
5042210,1,K02462.01,CAND,-,0.803
11752906,1,K00253.01,CAND,-,0.803
11853878,2,K01833.02,CAND,-,0.802
9532710,1,K02364.01,FP,-,0.802
9896018,1,K02579.01,CAND,-,0.8
7386827,1,K01704.01,CAND,-,0.799
8078502,1,K03383.01,CAND,-,0.798
4164922,1,K03864.01,CAND,-,0.797
8552202,1,K00914.01,CAND,-,0.796
12120943,1,K01458.01,CAND,-,0.793
11821363,1,K01494.01,CAND,-,0.792
7983117,1,K03214.01,CAND,-,0.791
10587105,3,K00339.03,CAND,-,0.791
9405595,1,K02125.01,CAND,-,0.787
10713616,1,K01311.01,CAND,-,0.784
5601258,1,K02191.01,CAND,-,0.784
8558011,1,K00577.01,CAND,-,0.784
9595686,1,K00944.01,CAND,-,0.783
3663173,1,K02750.01,CAND,-,0.783
10875007,1,K04149.01,CAND,-,0.781
9269281,1,K01398.01,CAND,-,0.781
8578780,1,K02023.01,CAND,-,0.778
8505920,1,K02094.01,CAND,-,0.777
11030711,1,K01429.01,CAND,-,0.776
11074178,2,K01889.02,CAND,-,0.775
9579641,3,K00115.03,CAND,-,0.774
4770365,1,K01475.01,CAND,-,0.773
7733731,1,K04022.01,CAND,-,0.771
9267996,1,K03431.01,FP,-,0.771
5953297,1,K02733.01,CAND,-,0.767
12469800,1,K02543.01,CAND,-,0.764
6198182,1,K02636.01,CAND,-,0.764
4951877,1,K00501.01,CAND,-,0.761
10877367,2,-,-,-,0.758
9517393,1,K02076.01,CAND,-,0.758
9772531,1,K00950.01,CAND,-,0.757
10350571,2,K01175.02,CAND,-,0.757
8261920,3,K02174.03,CAND,-,0.755
5629353,1,K06132.01,CAND,-,0.755
7202957,2,K02687.02,CAND,-,0.754
11253711,1,K01972.01,CAND,-,0.754
6467363,1,K02840.01,CAND,-,0.753
4756776,2,-,-,-,0.752
11967788,1,K04021.01,CAND,-,0.752
3425851,1,K00268.01,CAND,-,0.752
11656840,2,-,-,-,0.75
8780959,2,K03741.02,FP,-,0.75
10294509,1,K04143.01,FP,-,0.75
6058816,1,K03500.01,CAND,-,0.749
11657614,1,K03370.01,CAND,-,0.749
5978361,1,K00558.01,CAND,-,0.746
7877978,1,K02760.01,CAND,-,0.745
10793172,2,K02871.02,CAND,-,0.743
11026582,1,K05854.01,CAND,-,0.742
2854181,1,K02232.01,CAND,-,0.742
5384713,2,K03444.02,FP,-,0.741
12120307,3,K02597.03,CAND,-,0.741
7135852,1,K00875.01,CAND,-,0.74
9230021,1,K03429.01,CAND,-,0.739
8678594,2,K01261.02,CAND,-,0.736
5384713,3,K03444.03,CAND,-,0.736
3098810,1,K01878.01,CAND,-,0.733
6342333,1,K02065.01,CAND,-,0.728
9729691,2,K01751.02,FP,-,0.726
3859628,1,K01191.01,CAND,-,0.724
7449554,1,K02357.01,CAND,-,0.723
10793172,1,K02871.01,CAND,-,0.721
10319385,1,K01169.01,CAND,-,0.72
5787131,1,K02927.01,CAND,-,0.72
8564976,1,K03890.01,CAND,-,0.716
6803202,1,K00177.01,CAND,-,0.714
4860678,1,K01602.01,CAND,-,0.714
7183745,2,K02521.02,CAND,-,0.714
7287415,1,K01369.01,CAND,-,0.713
11718144,1,K02310.01,CAND,-,0.713
6719086,1,K01357.01,CAND,-,0.713
11244682,1,K03933.01,CAND,-,0.712
9414417,1,K00974.01,CAND,-,0.712
10513530,2,K00533.02,CAND,-,0.712
12785320,2,K00298.02,CAND,-,0.71
9030537,1,K01892.01,CAND,-,0.707
4857213,1,K02120.01,CAND,-,0.706
4548098,1,K04157.01,CAND,-,0.705
